,Overall,Potential,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Name,Age,Nationality,PreferredPositions
37,87,87,76.0,93.0,75.0,77.0,83.0,86.0,76.0,76.0,76.0,77.0,68.0,4.0,2.0,4.0,2.0,4.0,81.0,85.0,82.0,82.0,85.0,76.0,81.0,80.0,89.0,84.0,86.0,85.0,74.0,91.0,89.0,77.0,80.0,78.0,A. Vidal,30,Chile,CM CDM
38,87,87,75.0,84.0,81.0,59.0,80.0,83.0,70.0,75.0,80.0,83.0,74.0,12.0,5.0,13.0,13.0,10.0,88.0,48.0,88.0,50.0,78.0,24.0,84.0,92.0,91.0,78.0,85.0,27.0,78.0,92.0,45.0,74.0,77.0,84.0,E. Cavani,30,Uruguay,ST
39,87,87,77.0,84.0,77.0,82.0,88.0,85.0,90.0,80.0,84.0,67.0,67.0,12.0,5.0,5.0,5.0,9.0,71.0,83.0,77.0,76.0,66.0,80.0,59.0,75.0,87.0,82.0,83.0,87.0,79.0,81.0,85.0,77.0,75.0,54.0,Marcelo,29,Brazil,LB
40,87,87,72.0,56.0,76.0,66.0,87.0,84.0,78.0,80.0,86.0,78.0,72.0,8.0,6.0,4.0,14.0,14.0,74.0,72.0,71.0,82.0,83.0,60.0,70.0,88.0,88.0,88.0,82.0,62.0,75.0,85.0,73.0,69.0,86.0,79.0,M. Hamšík,29,Slovakia,CM
41,87,87,67.0,67.0,72.0,66.0,87.0,81.0,81.0,88.0,84.0,83.0,84.0,14.0,11.0,12.0,5.0,9.0,58.0,69.0,44.0,92.0,88.0,52.0,78.0,80.0,79.0,87.0,84.0,53.0,64.0,76.0,65.0,63.0,87.0,80.0,I. Rakitić,29,Croatia,CM
42,87,87,72.0,51.0,92.0,89.0,90.0,92.0,83.0,82.0,84.0,71.0,75.0,1.0,1.0,1.0,1.0,1.0,54.0,43.0,66.0,79.0,73.0,25.0,73.0,81.0,84.0,91.0,71.0,29.0,65.0,78.0,44.0,56.0,92.0,79.0,David Silva,31,Spain,LM CM CAM
43,87,87,54.0,25.0,42.0,36.0,24.0,62.0,12.0,12.0,18.0,10.0,14.0,87.0,86.0,69.0,87.0,87.0,10.0,22.0,78.0,34.0,19.0,17.0,23.0,12.0,83.0,36.0,22.0,13.0,57.0,41.0,10.0,71.0,41.0,12.0,S. Handanovič,32,Slovenia,GK
44,87,87,55.0,72.0,58.0,42.0,78.0,86.0,57.0,58.0,59.0,64.0,43.0,10.0,11.0,14.0,15.0,8.0,83.0,88.0,74.0,80.0,51.0,86.0,69.0,58.0,84.0,81.0,62.0,86.0,73.0,66.0,87.0,83.0,62.0,57.0,Piqué,30,Spain,CB
45,87,87,72.0,58.0,79.0,84.0,94.0,89.0,77.0,80.0,90.0,70.0,70.0,6.0,13.0,6.0,13.0,7.0,54.0,66.0,52.0,86.0,71.0,57.0,71.0,84.0,88.0,92.0,65.0,56.0,71.0,58.0,57.0,58.0,94.0,74.0,Iniesta,33,Spain,LM CM
46,86,90,68.0,74.0,73.0,62.0,82.0,84.0,70.0,71.0,78.0,90.0,66.0,8.0,10.0,11.0,14.0,11.0,83.0,35.0,70.0,67.0,84.0,41.0,84.0,89.0,87.0,75.0,87.0,38.0,74.0,85.0,36.0,86.0,75.0,73.0,H. Kane,23,England,ST
47,86,89,77.0,65.0,82.0,75.0,85.0,87.0,88.0,87.0,83.0,82.0,86.0,15.0,15.0,15.0,5.0,14.0,62.0,55.0,54.0,80.0,91.0,25.0,81.0,80.0,84.0,84.0,86.0,30.0,75.0,68.0,42.0,70.0,86.0,91.0,J. Rodríguez,25,Colombia,RM CM CAM
48,86,90,74.0,58.0,83.0,85.0,91.0,86.0,72.0,86.0,90.0,88.0,74.0,10.0,8.0,12.0,15.0,6.0,55.0,70.0,64.0,85.0,87.0,25.0,76.0,83.0,79.0,86.0,72.0,51.0,69.0,71.0,73.0,59.0,84.0,64.0,Isco,25,Spain,LM RM CAM CM
49,86,88,86.0,69.0,79.0,77.0,83.0,79.0,82.0,78.0,79.0,63.0,85.0,5.0,7.0,14.0,15.0,9.0,75.0,85.0,82.0,80.0,83.0,81.0,80.0,77.0,84.0,83.0,83.0,83.0,86.0,87.0,83.0,69.0,78.0,68.0,D. Alaba,25,Austria,CM CB LB
50,86,90,76.0,72.0,62.0,47.0,75.0,84.0,68.0,72.0,77.0,89.0,66.0,8.0,15.0,14.0,7.0,10.0,87.0,27.0,71.0,68.0,75.0,27.0,82.0,87.0,85.0,71.0,88.0,30.0,89.0,80.0,30.0,93.0,73.0,76.0,R. Lukaku,24,Belgium,ST
51,86,88,84.0,82.0,79.0,79.0,81.0,82.0,86.0,78.0,82.0,55.0,59.0,7.0,7.0,9.0,12.0,5.0,76.0,82.0,79.0,71.0,72.0,78.0,60.0,70.0,86.0,81.0,80.0,84.0,88.0,93.0,84.0,80.0,70.0,68.0,Alex Sandro,26,Brazil,LM LB
52,86,86,76.0,57.0,76.0,72.0,82.0,83.0,77.0,81.0,75.0,87.0,59.0,6.0,7.0,11.0,14.0,14.0,82.0,58.0,81.0,68.0,77.0,31.0,60.0,93.0,92.0,81.0,77.0,44.0,78.0,90.0,41.0,67.0,81.0,83.0,T. Müller,27,Germany,ST CAM RW CF
53,86,86,48.0,85.0,58.0,55.0,80.0,88.0,62.0,66.0,74.0,60.0,68.0,5.0,8.0,13.0,9.0,13.0,68.0,86.0,66.0,79.0,54.0,81.0,60.0,77.0,82.0,88.0,61.0,80.0,34.0,88.0,85.0,77.0,84.0,44.0,Sergio Busquets,28,Spain,CM CDM
54,86,89,88.0,55.0,92.0,92.0,88.0,85.0,77.0,84.0,88.0,74.0,82.0,12.0,7.0,9.0,14.0,6.0,47.0,30.0,59.0,78.0,86.0,24.0,64.0,83.0,81.0,85.0,80.0,40.0,77.0,80.0,44.0,61.0,87.0,75.0,Coutinho,25,Brazil,CAM LW
55,86,86,86.0,49.0,86.0,81.0,85.0,83.0,80.0,90.0,86.0,86.0,84.0,12.0,12.0,13.0,13.0,11.0,49.0,50.0,72.0,80.0,88.0,30.0,87.0,86.0,87.0,86.0,87.0,46.0,90.0,68.0,36.0,67.0,86.0,88.0,M. Reus,28,Germany,LW ST LM
56,86,87,62.0,81.0,60.0,50.0,70.0,81.0,64.0,63.0,62.0,45.0,69.0,16.0,6.0,14.0,16.0,14.0,82.0,84.0,81.0,81.0,66.0,89.0,60.0,56.0,86.0,77.0,86.0,85.0,69.0,76.0,90.0,82.0,67.0,38.0,T. Alderweireld,28,Belgium,CB
57,86,86,68.0,86.0,72.0,56.0,79.0,78.0,68.0,70.0,66.0,55.0,76.0,11.0,12.0,10.0,7.0,14.0,83.0,87.0,80.0,78.0,71.0,80.0,75.0,54.0,79.0,79.0,77.0,84.0,71.0,76.0,85.0,81.0,69.0,64.0,David Luiz,30,Brazil,CB
58,86,86,74.0,93.0,58.0,52.0,83.0,84.0,65.0,62.0,77.0,88.0,59.0,11.0,13.0,12.0,8.0,11.0,83.0,40.0,64.0,52.0,73.0,28.0,76.0,88.0,86.0,67.0,84.0,34.0,75.0,83.0,39.0,91.0,74.0,81.0,Diego Costa,28,Spain,ST
59,86,86,80.0,88.0,81.0,84.0,85.0,85.0,73.0,73.0,80.0,76.0,68.0,11.0,11.0,14.0,8.0,11.0,59.0,86.0,76.0,81.0,86.0,78.0,63.0,88.0,87.0,84.0,84.0,88.0,76.0,94.0,86.0,76.0,76.0,75.0,R. Nainggolan,29,Belgium,CAM CM
60,86,86,49.0,91.0,54.0,58.0,71.0,83.0,60.0,54.0,62.0,53.0,45.0,5.0,12.0,9.0,11.0,8.0,90.0,86.0,83.0,74.0,63.0,84.0,52.0,57.0,84.0,75.0,76.0,87.0,50.0,64.0,87.0,84.0,74.0,61.0,Javi Martínez,28,Spain,CDM CB
61,86,86,93.0,59.0,94.0,92.0,88.0,81.0,77.0,81.0,89.0,85.0,77.0,7.0,10.0,8.0,10.0,4.0,35.0,36.0,60.0,74.0,81.0,30.0,78.0,85.0,85.0,81.0,80.0,40.0,87.0,75.0,40.0,42.0,82.0,70.0,D. Mertens,30,Belgium,ST LW CF
62,86,86,71.0,91.0,62.0,68.0,58.0,82.0,47.0,36.0,58.0,44.0,35.0,6.0,8.0,5.0,12.0,5.0,87.0,80.0,87.0,64.0,48.0,88.0,33.0,50.0,81.0,64.0,79.0,86.0,84.0,74.0,90.0,86.0,52.0,46.0,Sokratis,29,Greece,CB
63,86,86,67.0,83.0,61.0,57.0,72.0,84.0,48.0,32.0,65.0,43.0,39.0,12.0,6.0,10.0,13.0,12.0,83.0,88.0,82.0,69.0,41.0,89.0,49.0,43.0,82.0,70.0,70.0,86.0,74.0,65.0,90.0,80.0,58.0,51.0,Miranda,32,Brazil,CB
64,86,86,77.0,65.0,77.0,60.0,86.0,82.0,75.0,79.0,82.0,87.0,73.0,13.0,11.0,5.0,5.0,7.0,78.0,22.0,70.0,47.0,77.0,13.0,82.0,87.0,83.0,86.0,83.0,12.0,78.0,73.0,15.0,78.0,85.0,79.0,K. Benzema,29,France,ST
65,86,86,65.0,45.0,65.0,77.0,86.0,92.0,85.0,77.0,80.0,76.0,81.0,6.0,10.0,8.0,15.0,15.0,74.0,50.0,68.0,90.0,75.0,60.0,80.0,78.0,81.0,91.0,77.0,62.0,62.0,80.0,63.0,64.0,91.0,81.0,Cesc Fàbregas,30,Spain,CAM CDM CM
66,86,86,85.0,52.0,88.0,91.0,90.0,86.0,81.0,83.0,90.0,76.0,81.0,15.0,6.0,9.0,7.0,10.0,41.0,36.0,34.0,75.0,75.0,13.0,78.0,81.0,86.0,86.0,76.0,26.0,79.0,64.0,25.0,60.0,86.0,80.0,F. Ribéry,34,France,LW LM
67,86,86,65.0,94.0,63.0,49.0,62.0,77.0,46.0,44.0,58.0,46.0,47.0,8.0,15.0,5.0,9.0,10.0,80.0,86.0,76.0,61.0,56.0,86.0,57.0,40.0,83.0,70.0,63.0,87.0,70.0,62.0,86.0,84.0,48.0,23.0,Pepe,34,Portugal,CB
68,86,86,40.0,17.0,49.0,34.0,22.0,70.0,19.0,13.0,12.0,12.0,19.0,82.0,87.0,76.0,83.0,81.0,19.0,23.0,51.0,33.0,11.0,11.0,23.0,13.0,84.0,35.0,21.0,12.0,44.0,32.0,13.0,65.0,53.0,17.0,P. Čech,35,Czech Republic,GK
69,85,90,87.0,61.0,91.0,71.0,86.0,75.0,80.0,81.0,91.0,79.0,78.0,9.0,11.0,9.0,10.0,10.0,53.0,18.0,68.0,74.0,75.0,19.0,74.0,82.0,83.0,79.0,84.0,26.0,89.0,73.0,39.0,59.0,74.0,68.0,Y. Carrasco,23,Belgium,RM LM
70,85,92,77.0,77.0,58.0,47.0,77.0,82.0,36.0,46.0,57.0,40.0,54.0,11.0,11.0,9.0,5.0,14.0,83.0,82.0,80.0,76.0,53.0,84.0,43.0,44.0,81.0,75.0,52.0,85.0,81.0,68.0,86.0,85.0,56.0,42.0,R. Varane,24,France,CB
71,85,89,63.0,87.0,66.0,57.0,78.0,86.0,52.0,59.0,69.0,59.0,74.0,13.0,14.0,16.0,12.0,12.0,74.0,86.0,87.0,84.0,77.0,83.0,66.0,66.0,83.0,82.0,86.0,86.0,61.0,85.0,87.0,85.0,76.0,53.0,Casemiro,25,Brazil,CDM
72,85,86,94.0,34.0,96.0,93.0,90.0,78.0,83.0,83.0,88.0,73.0,77.0,8.0,4.0,14.0,9.0,10.0,56.0,26.0,53.0,73.0,80.0,16.0,61.0,83.0,80.0,83.0,70.0,22.0,86.0,75.0,24.0,44.0,87.0,74.0,L. Insigne,26,Italy,LW
73,85,88,84.0,70.0,87.0,84.0,84.0,86.0,64.0,74.0,85.0,87.0,71.0,11.0,6.0,9.0,5.0,6.0,72.0,40.0,76.0,59.0,76.0,23.0,84.0,87.0,85.0,79.0,81.0,30.0,87.0,80.0,42.0,79.0,74.0,82.0,A. Lacazette,26,France,ST
74,85,85,54.0,32.0,60.0,61.0,19.0,49.0,11.0,11.0,16.0,15.0,15.0,87.0,82.0,72.0,80.0,85.0,11.0,20.0,74.0,37.0,13.0,12.0,25.0,16.0,82.0,30.0,21.0,14.0,53.0,39.0,14.0,75.0,54.0,11.0,K. Navas,30,Costa Rica,GK
75,85,85,88.0,69.0,89.0,85.0,87.0,79.0,79.0,83.0,87.0,77.0,64.0,5.0,11.0,14.0,5.0,7.0,53.0,64.0,71.0,72.0,75.0,49.0,72.0,82.0,82.0,84.0,87.0,55.0,84.0,86.0,53.0,63.0,85.0,81.0,H. Mkhitaryan,28,Armenia,LM RW RM
76,85,85,51.0,31.0,42.0,37.0,19.0,65.0,11.0,24.0,11.0,10.0,66.0,84.0,79.0,79.0,85.0,87.0,13.0,20.0,75.0,26.0,14.0,15.0,23.0,15.0,82.0,24.0,24.0,13.0,54.0,32.0,14.0,80.0,52.0,13.0,D. Subašić,32,Croatia,GK
77,85,88,46.0,28.0,52.0,44.0,22.0,62.0,9.0,9.0,16.0,9.0,8.0,85.0,84.0,74.0,85.0,83.0,13.0,22.0,73.0,33.0,14.0,8.0,23.0,7.0,81.0,37.0,23.0,18.0,52.0,43.0,15.0,68.0,53.0,10.0,B. Leno,25,Germany,GK
78,85,89,38.0,43.0,37.0,43.0,18.0,62.0,15.0,18.0,17.0,14.0,12.0,84.0,83.0,87.0,81.0,86.0,11.0,22.0,79.0,38.0,10.0,10.0,25.0,11.0,82.0,30.0,22.0,10.0,50.0,35.0,13.0,79.0,57.0,14.0,M. ter Stegen,25,Germany,GK
79,85,85,53.0,86.0,34.0,55.0,59.0,79.0,29.0,35.0,51.0,27.0,26.0,10.0,14.0,5.0,8.0,10.0,85.0,87.0,82.0,59.0,20.0,85.0,39.0,24.0,79.0,63.0,57.0,83.0,58.0,72.0,87.0,90.0,23.0,17.0,K. Glik,29,Poland,CB
80,85,85,93.0,75.0,90.0,86.0,83.0,75.0,82.0,77.0,80.0,73.0,64.0,13.0,15.0,13.0,6.0,13.0,63.0,83.0,81.0,70.0,66.0,81.0,59.0,77.0,82.0,79.0,64.0,83.0,93.0,90.0,84.0,60.0,68.0,60.0,Jordi Alba,28,Spain,LB
81,85,87,73.0,68.0,83.0,81.0,88.0,86.0,74.0,81.0,87.0,72.0,74.0,11.0,14.0,5.0,5.0,13.0,49.0,79.0,62.0,83.0,74.0,57.0,76.0,79.0,87.0,88.0,77.0,64.0,70.0,71.0,67.0,74.0,87.0,75.0,I. Gündoğan,26,Germany,CDM CM
82,85,87,78.0,80.0,75.0,73.0,79.0,78.0,78.0,66.0,69.0,46.0,58.0,13.0,9.0,10.0,6.0,5.0,76.0,85.0,76.0,74.0,60.0,87.0,66.0,62.0,86.0,80.0,68.0,87.0,79.0,88.0,88.0,73.0,68.0,51.0,Azpilicueta,27,Spain,LB RB CB
83,85,85,86.0,73.0,92.0,79.0,85.0,82.0,85.0,78.0,86.0,74.0,72.0,10.0,7.0,11.0,12.0,11.0,53.0,38.0,72.0,79.0,77.0,37.0,73.0,82.0,80.0,83.0,83.0,56.0,86.0,78.0,59.0,60.0,81.0,77.0,A. Di María,29,Argentina,LW RW
